ticker,start_time,mcap,24hVol_20260128,history_days
LAYERUSDT,2025-02-11,,6294225.46128,351.0
GRTUSDT,2020-12-19,,6268016.05151,1866.0
WCTUSDT,2025-04-15,,6220373.90627,288.0
INUSDT,2025-08-07,,6139837.64853,174.0
OPENUSDT,2025-09-08,,6137327.5149,142.0
POWERUSDT,2025-12-06,,6127473.94262,53.0
IOUSDT,2024-06-11,,6101650.8045,596.0
MANTAUSDT,2024-01-18,,5970383.760225,741.0
XVSUSDT,2023-04-13,,5947461.7657,1021.0
GMTUSDT,2022-03-15,,5938631.16679,1415.0
PEOPLEUSDT,2021-12-24,,5819933.49372,1496.0
CUDISUSDT,2025-08-20,,5769456.643,161.0
STXUSDT,2023-02-21,,5766781.957,1072.0
ACHUSDT,2023-02-22,,5730487.042076,1071.0
CFXUSDT,2023-02-20,,5677532.80287,1073.0
NIGHTUSDT,2025-12-10,,5577276.74201,49.0
RAVEUSDT,2025-12-14,,5554822.59796,45.0
REDUSDT,2025-03-06,,5496660.8386,328.0
KASUSDT,2023-11-17,,5452500.9604,803.0
INITUSDT,2025-04-16,,5425639.4483,287.0
SKYUSDT,2025-09-09,,5414087.41157,141.0
LYNUSDT,2025-10-06,,5408386.02024,114.0
MYXUSDT,2025-06-18,,5382009.517,224.0
HMSTRUSDT,2024-09-26,,5334469.747228,489.0
TRADOORUSDT,2025-09-19,,5333470.447,131.0
RUNEUSDT,2020-09-04,,5308530.5974,1972.0
MELANIAUSDT,2025-01-20,,5237228.50463,373.0
GASUSDT,2023-10-25,,5168770.579,826.0
GRIFFAINUSDT,2025-01-02,,5132625.58867,391.0
CVXUSDT,2025-07-23,,5120739.2086,189.0
PLUMEUSDT,2025-03-21,,5085777.33611,313.0
IDOLUSDT,2025-07-04,,5085215.51895,208.0
MEUSDT,2024-12-10,,5054162.24226,414.0
BARDUSDT,2025-09-18,,5029265.9358,132.0
LABUSDT,2025-10-17,,4982912.07201,103.0
EDENUSDT,2025-09-30,,4972700.17282,120.0
MEMEUSDT,2023-11-03,,4941255.818375,817.0
ASTRUSDT,2023-02-14,,4923792.906413,1079.0
ARPAUSDT,2021-10-19,,4873432.57491,1562.0
BANANAUSDT,2024-08-15,,4826434.9758,531.0
KGENUSDT,2025-10-07,,4821725.74205,113.0
HOMEUSDT,2025-06-10,,4796239.925707,232.0
BEAMXUSDT,2023-11-17,,4791139.70557,803.0
MMTUSDT,2025-11-04,,4723936.8279,85.0
ZETAUSDT,2024-02-02,,4699909.31045,726.0
GLMUSDT,2024-02-22,,4612908.37542,706.0
ONGUSDT,2023-11-27,,4531643.84243,793.0
TRUSTUSDT,2025-11-05,,4531140.9295,84.0
ESPORTSUSDT,2025-07-29,,4526673.34736,183.0
ALLOUSDT,2025-11-11,,4524797.2869,78.0
NMRUSDT,2023-06-22,,4513071.517,951.0
POPCATUSDT,2024-08-22,,4498599.911,524.0
ATHUSDT,2025-04-02,,4487038.72308,301.0
SCRTUSDT,2024-11-21,,4344349.7685,433.0
KMNOUSDT,2024-12-20,,4343300.20917,404.0
PROMPTUSDT,2025-04-11,,4305180.32237,292.0
BATUSDT,2020-02-13,,4271707.7104,2176.0
1000LUNCUSDT,2022-09-09,,4246014.30912,1237.0
SUSHIUSDT,2020-09-04,,4242375.5837,1972.0
BULLAUSDT,2025-07-04,,4226506.76761,208.0
SPKUSDT,2025-06-17,,4180206.16484,225.0
MOVEUSDT,2024-12-09,,4173735.20258,415.0
FLOCKUSDT,2025-09-09,,4159301.3112,141.0
RVNUSDT,2021-02-23,,4142900.67268,1800.0
ACTUSDT,2024-11-11,,4139696.45625,443.0
TREEUSDT,2025-07-29,,4129284.3442,183.0
USUALUSDT,2024-12-18,,4116844.34901,406.0
EGLDUSDT,2020-09-14,,4112383.678,1962.0
MASKUSDT,2021-08-27,,4101574.7239,1615.0
TRUTHUSDT,2025-10-01,,4092764.30486,119.0
TNSRUSDT,2024-04-08,,4073301.619544,660.0
IOTAUSDT,2020-02-12,,4073167.6902,2177.0
NXPCUSDT,2025-05-15,,4064172.8718,258.0
SXTUSDT,2025-05-02,,4014858.04143,271.0
GPSUSDT,2025-02-17,,3994320.379817,345.0
PHAUSDT,2024-12-30,,3935724.46361,394.0
AKTUSDT,2024-11-18,,3917009.79068,436.0
YGGUSDT,2023-08-05,,3912136.81158,907.0
KSMUSDT,2020-10-14,,3881314.599,1932.0
VANRYUSDT,2024-03-13,,3877841.819607,686.0
COAIUSDT,2025-09-25,,3842054.3633,125.0
HYPERUSDT,2025-04-22,,3737576.1115,281.0
RONINUSDT,2024-02-06,,3703337.69304,722.0
ORCAUSDT,2024-12-06,,3677990.2564,418.0
NAORISUSDT,2025-07-31,,3663643.00405,181.0
DRIFTUSDT,2024-11-08,,3650745.0819,446.0
BANANAS31USDT,2025-03-22,,3620708.731212,312.0
MORPHOUSDT,2024-11-27,,3618273.95829,427.0
TOSHIUSDT,2025-09-17,,3589448.9023597,133.0
BBUSDT,2024-05-13,,3583506.70968,625.0
STOUSDT,2025-04-12,,3582676.6388,291.0
NEOUSDT,2020-02-17,,3508299.362,2172.0
USDCUSDT,2023-03-12,,3495648.937412,1053.0
SHELLUSDT,2025-02-17,,3492745.35457,345.0
SLPUSDT,2025-07-23,,3483020.4785297,189.0
BRUSDT,2025-03-21,,3453651.48058,313.0
