open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2026-01-20 08:25:00,23.072,23.089,23.01,23.038,29844.14,2026-01-20 08:29:59.999,687932.21071,3549,11039.03,254454.60232,0
2026-01-20 08:30:00,23.037,23.049,22.961,22.965,37823.89,2026-01-20 08:34:59.999,870161.92649,5125,14922.34,343351.71326,0
2026-01-20 08:35:00,22.964,23.011,22.92,22.96,58373.01,2026-01-20 08:39:59.999,1341113.72986,7427,31412.66,721806.25917,0
2026-01-20 08:40:00,22.96,23.05,22.96,23.044,57305.94,2026-01-20 08:44:59.999,1319112.73651,4879,32363.21,744848.37799,0
2026-01-20 08:45:00,23.043,23.11,23.027,23.087,49000.14,2026-01-20 08:49:59.999,1130571.33042,5140,23783.22,548800.08261,0
2026-01-20 08:50:00,23.087,23.157,23.071,23.143,69551.29,2026-01-20 08:54:59.999,1608176.16435,4630,31182.69,721228.49677,0
2026-01-20 08:55:00,23.144,23.224,23.128,23.218,48364.15,2026-01-20 08:59:59.999,1120873.99787,4788,23364.36,541605.66872,0
2026-01-20 09:00:00,23.218,23.253,23.146,23.233,77060.97,2026-01-20 09:04:59.999,1788537.74632,7117,39762.43,923109.52045,0
2026-01-20 09:05:00,23.233,23.264,23.174,23.192,56590.55,2026-01-20 09:09:59.999,1314144.23427,5099,27133.16,630303.68116,0
2026-01-20 09:10:00,23.191,23.237,23.159,23.198,38299.46,2026-01-20 09:14:59.999,888116.59873,3746,18417.15,427085.62832,0
2026-01-20 09:15:00,23.198,23.211,23.063,23.091,45049.18,2026-01-20 09:19:59.999,1041579.86995,4679,14587.93,337302.61922,0
2026-01-20 09:20:00,23.092,23.109,23.027,23.04,23641.21,2026-01-20 09:24:59.999,545431.95217,3205,12018.59,277302.00219,0
2026-01-20 09:25:00,23.04,23.071,23.009,23.017,18729.96,2026-01-20 09:29:59.999,431495.54071,2774,6271.87,144514.92692,0
2026-01-20 09:30:00,23.017,23.037,22.932,22.946,41015.54,2026-01-20 09:34:59.999,942340.50594,4285,16353.24,375805.77655,0
2026-01-20 09:35:00,22.945,22.971,22.869,22.906,54621.49,2026-01-20 09:39:59.999,1251444.84075,4312,28295.62,648484.51284,0
2026-01-20 09:40:00,22.906,22.911,22.872,22.899,21963.06,2026-01-20 09:44:59.999,502773.11161,2712,12219.9,279751.9959,0
2026-01-20 09:45:00,22.9,23.032,22.855,22.965,152505.22,2026-01-20 09:49:59.999,3498690.14658,9925,85801.96,1968682.7141,0
2026-01-20 09:50:00,22.965,22.979,22.869,22.904,60688.13,2026-01-20 09:54:59.999,1391255.41386,5105,18318.56,420049.44323,0
2026-01-20 09:55:00,22.905,22.956,22.905,22.929,22305.21,2026-01-20 09:59:59.999,511491.41513,2710,11371.98,260756.00649,0
2026-01-20 10:00:00,22.928,22.956,22.87,22.951,32430.25,2026-01-20 10:04:59.999,743144.82085,4190,15680.79,359317.03399,0
2026-01-20 10:05:00,22.951,23.046,22.948,23.002,50673.18,2026-01-20 10:09:59.999,1165308.4657,5413,31454.17,723381.51308,0
2026-01-20 10:10:00,23.001,23.106,22.974,23.052,88897.06,2026-01-20 10:14:59.999,2048854.06408,5877,52226.36,1203960.74142,0
2026-01-20 10:15:00,23.052,23.098,23.041,23.089,59342.63,2026-01-20 10:19:59.999,1368985.57283,5338,39996.16,922724.89549,0
2026-01-20 10:20:00,23.091,23.098,22.984,22.993,50421.95,2026-01-20 10:24:59.999,1162055.44662,4292,21748.08,501183.70906,0
2026-01-20 10:25:00,22.994,23.036,22.978,23.014,17064.8,2026-01-20 10:29:59.999,392594.66254,2395,7755.44,178441.32595,0
2026-01-20 10:30:00,23.014,23.019,22.938,22.946,31878.64,2026-01-20 10:34:59.999,732297.17985,3588,12180.34,279844.36329,0
2026-01-20 10:35:00,22.947,22.97,22.924,22.942,15107.15,2026-01-20 10:39:59.999,346639.1849,2627,6551.89,150348.43493,0
2026-01-20 10:40:00,22.941,22.963,22.927,22.948,12011.23,2026-01-20 10:44:59.999,275575.92038,1793,6418.68,147268.64154,0
2026-01-20 10:45:00,22.948,22.961,22.937,22.957,17425.44,2026-01-20 10:49:59.999,399946.13861,2567,9472.73,217420.92674,0
2026-01-20 10:50:00,22.956,22.996,22.943,22.964,15909.7,2026-01-20 10:54:59.999,365445.01845,2309,9596.17,220407.80026,0
2026-01-20 10:55:00,22.964,22.969,22.928,22.95,7363.6,2026-01-20 10:59:59.999,168998.35425,1350,2088.02,47926.19182,0
2026-01-20 11:00:00,22.949,22.964,22.944,22.958,8794.4,2026-01-20 11:04:59.999,201878.08529,1874,3322.59,76275.68171,0
2026-01-20 11:05:00,22.958,23.088,22.849,22.984,201111.75,2026-01-20 11:09:59.999,4616963.80676,11571,100432.45,2306738.60401,0
2026-01-20 11:10:00,22.984,22.984,22.9,22.905,34729.43,2026-01-20 11:14:59.999,796801.9782,3391,7330.94,168212.79632,0
2026-01-20 11:15:00,22.905,22.93,22.886,22.918,14634.61,2026-01-20 11:19:59.999,335219.23369,2333,7815.84,179038.52472,0
2026-01-20 11:20:00,22.919,22.919,22.801,22.827,69663.32,2026-01-20 11:24:59.999,1592519.99047,6005,26133.1,597709.16501,0
2026-01-20 11:25:00,22.827,22.893,22.824,22.854,24546.04,2026-01-20 11:29:59.999,561152.6353,3269,13712.63,313469.40184,0
2026-01-20 11:30:00,22.853,22.858,22.8,22.81,20255.5,2026-01-20 11:34:59.999,462239.36725,2686,7606.52,173586.00603,0
2026-01-20 11:35:00,22.811,22.814,22.75,22.779,59205.08,2026-01-20 11:39:59.999,1348731.97554,5103,24719.98,563293.65054,0
2026-01-20 11:40:00,22.78,22.78,22.713,22.748,69659.38,2026-01-20 11:44:59.999,1583977.48119,4186,14567.7,331206.89283,0
2026-01-20 11:45:00,22.748,22.78,22.741,22.767,19904.96,2026-01-20 11:49:59.999,452956.96495,2128,8848.04,201322.38495,0
2026-01-20 11:50:00,22.766,22.771,22.716,22.747,18798.61,2026-01-20 11:54:59.999,427540.1542,2354,7124.41,162049.571,0
2026-01-20 11:55:00,22.747,22.807,22.744,22.754,19049.0,2026-01-20 11:59:59.999,433886.62511,2324,11493.08,261843.66503,0
2026-01-20 12:00:00,22.755,22.796,22.73,22.785,23617.64,2026-01-20 12:04:59.999,537701.44917,3040,11983.75,272863.31165,0
2026-01-20 12:05:00,22.785,22.886,22.777,22.833,38429.43,2026-01-20 12:09:59.999,877695.37809,3248,24553.53,560775.01381,0
